S	b_eq	b_neq	tangent_eq,	tangent_neq
0.000	0.000	0.000	0.000	0.000
0.001	0.000	0.000	0.001	0.002
0.002	0.000	0.000	0.002	0.005
0.003	0.000	0.000	0.004	0.007
0.004	0.000	0.000	0.005	0.010
0.005	0.000	0.000	0.006	0.012
0.006	0.000	0.000	0.007	0.014
0.007	0.000	0.000	0.008	0.017
0.008	0.000	0.000	0.010	0.019
0.009	0.000	0.000	0.011	0.022
0.010	0.000	0.000	0.012	0.024
0.011	0.000	0.001	0.013	0.027
0.012	0.000	0.001	0.014	0.029
0.013	0.000	0.001	0.016	0.031
0.014	0.000	0.001	0.017	0.034
0.015	0.000	0.001	0.018	0.036
0.016	0.000	0.001	0.019	0.039
0.017	0.000	0.001	0.021	0.041
0.018	0.000	0.001	0.022	0.043
0.019	0.000	0.002	0.023	0.046
0.020	0.000	0.002	0.024	0.048
0.021	0.000	0.002	0.025	0.051
0.022	0.001	0.002	0.027	0.053
0.023	0.001	0.002	0.028	0.056
0.024	0.001	0.003	0.029	0.058
0.025	0.001	0.003	0.030	0.060
0.026	0.001	0.003	0.031	0.063
0.027	0.001	0.003	0.033	0.065
0.028	0.001	0.004	0.034	0.068
0.029	0.001	0.004	0.035	0.070
0.030	0.001	0.004	0.036	0.072
0.031	0.001	0.004	0.037	0.075
0.032	0.001	0.005	0.039	0.077
0.033	0.001	0.005	0.040	0.080
0.034	0.001	0.005	0.041	0.082
0.035	0.001	0.006	0.042	0.085
0.036	0.001	0.006	0.043	0.087
0.037	0.001	0.006	0.045	0.089
0.038	0.002	0.007	0.046	0.092
0.039	0.002	0.007	0.047	0.094
0.040	0.002	0.008	0.048	0.097
0.041	0.002	0.008	0.050	0.099
0.042	0.002	0.008	0.051	0.101
0.043	0.002	0.009	0.052	0.104
0.044	0.002	0.009	0.053	0.106
0.045	0.002	0.010	0.054	0.109
0.046	0.002	0.010	0.056	0.111
0.047	0.002	0.011	0.057	0.114
0.048	0.003	0.011	0.058	0.116
0.049	0.003	0.012	0.059	0.118
0.050	0.003	0.012	0.060	0.121
0.051	0.003	0.013	0.062	0.123
0.052	0.003	0.013	0.063	0.126
0.053	0.003	0.014	0.064	0.128
0.054	0.003	0.014	0.065	0.130
0.055	0.003	0.015	0.066	0.133
0.056	0.004	0.016	0.068	0.135
0.057	0.004	0.016	0.069	0.138
0.058	0.004	0.017	0.070	0.140
0.059	0.004	0.018	0.071	0.143
0.060	0.004	0.018	0.072	0.145
0.061	0.004	0.019	0.074	0.147
0.062	0.004	0.020	0.075	0.150
0.063	0.005	0.020	0.076	0.152
0.064	0.005	0.021	0.077	0.155
0.065	0.005	0.022	0.079	0.157
0.066	0.005	0.023	0.080	0.159
0.067	0.005	0.023	0.081	0.162
0.068	0.005	0.024	0.082	0.164
0.069	0.005	0.025	0.083	0.167
0.070	0.006	0.026	0.085	0.169
0.071	0.006	0.027	0.086	0.172
0.072	0.006	0.028	0.087	0.174
0.073	0.006	0.028	0.088	0.176
0.074	0.006	0.029	0.089	0.179
0.075	0.007	0.030	0.091	0.181
0.076	0.007	0.031	0.092	0.184
0.077	0.007	0.032	0.093	0.186
0.078	0.007	0.033	0.094	0.188
0.079	0.007	0.034	0.095	0.191
0.080	0.008	0.035	0.097	0.193
0.081	0.008	0.036	0.098	0.196
0.082	0.008	0.037	0.099	0.198
0.083	0.008	0.038	0.100	0.201
0.084	0.008	0.039	0.101	0.203
0.085	0.009	0.040	0.103	0.205
0.086	0.009	0.041	0.104	0.208
0.087	0.009	0.043	0.105	0.210
0.088	0.009	0.044	0.106	0.213
0.089	0.009	0.045	0.108	0.215
0.090	0.010	0.046	0.109	0.217
0.091	0.010	0.047	0.110	0.220
0.092	0.010	0.048	0.111	0.222
0.093	0.010	0.050	0.112	0.225
0.094	0.011	0.051	0.114	0.227
0.095	0.011	0.052	0.115	0.230
0.096	0.011	0.054	0.116	0.232
0.097	0.011	0.055	0.117	0.234
0.098	0.012	0.056	0.118	0.237
0.099	0.012	0.058	0.120	0.239
0.100	0.012	0.059	0.121	0.242
0.101	0.012	0.060	0.122	0.244
0.102	0.013	0.062	0.123	0.246
0.103	0.013	0.063	0.124	0.249
0.104	0.013	0.065	0.126	0.251
0.105	0.014	0.066	0.127	0.254
0.106	0.014	0.068	0.128	0.256
0.107	0.014	0.069	0.129	0.259
0.108	0.014	0.071	0.130	0.261
0.109	0.015	0.072	0.132	0.263
0.110	0.015	0.074	0.133	0.266
0.111	0.015	0.075	0.134	0.268
0.112	0.016	0.077	0.135	0.271
0.113	0.016	0.079	0.137	0.273
0.114	0.016	0.080	0.138	0.275
0.115	0.017	0.082	0.139	0.278
0.116	0.017	0.084	0.140	0.280
0.117	0.017	0.086	0.141	0.283
0.118	0.018	0.087	0.143	0.285
0.119	0.018	0.089	0.144	0.288
0.120	0.018	0.091	0.145	0.290
0.121	0.019	0.093	0.146	0.292
0.122	0.019	0.095	0.147	0.295
0.123	0.019	0.096	0.149	0.297
0.124	0.020	0.098	0.150	0.300
0.125	0.020	0.100	0.151	0.302
0.126	0.020	0.102	0.152	0.304
0.127	0.021	0.104	0.153	0.307
0.128	0.021	0.106	0.155	0.309
0.129	0.022	0.108	0.156	0.312
0.130	0.022	0.110	0.157	0.314
0.131	0.022	0.112	0.158	0.317
0.132	0.023	0.114	0.159	0.319
0.133	0.023	0.116	0.161	0.321
0.134	0.023	0.118	0.162	0.324
0.135	0.024	0.121	0.163	0.326
0.136	0.024	0.123	0.164	0.329
0.137	0.025	0.125	0.166	0.331
0.138	0.025	0.127	0.167	0.333
0.139	0.025	0.129	0.168	0.336
0.140	0.026	0.132	0.169	0.338
0.141	0.026	0.134	0.170	0.341
0.142	0.027	0.136	0.172	0.343
0.143	0.027	0.139	0.173	0.346
0.144	0.028	0.141	0.174	0.348
0.145	0.028	0.143	0.175	0.350
0.146	0.028	0.146	0.176	0.353
0.147	0.029	0.148	0.178	0.355
0.148	0.029	0.151	0.179	0.358
0.149	0.030	0.153	0.180	0.360
0.150	0.030	0.156	0.181	0.362
0.151	0.031	0.158	0.182	0.365
0.152	0.031	0.161	0.184	0.367
0.153	0.032	0.163	0.185	0.370
0.154	0.032	0.166	0.186	0.372
0.155	0.033	0.168	0.187	0.375
0.156	0.033	0.171	0.188	0.377
0.157	0.034	0.174	0.190	0.379
0.158	0.034	0.176	0.191	0.382
0.159	0.035	0.179	0.192	0.384
0.160	0.035	0.182	0.193	0.387
0.161	0.036	0.184	0.195	0.389
0.162	0.036	0.187	0.196	0.391
0.163	0.037	0.190	0.197	0.394
0.164	0.037	0.193	0.198	0.396
0.165	0.038	0.196	0.199	0.399
0.166	0.038	0.199	0.201	0.401
0.167	0.039	0.201	0.202	0.404
0.168	0.039	0.204	0.203	0.406
0.169	0.040	0.207	0.204	0.408
0.170	0.040	0.210	0.205	0.411
0.171	0.041	0.213	0.207	0.413
0.172	0.041	0.216	0.208	0.416
