x	S(x),tau=0(buckley)	S(x),tau=0.001	S(x),tau=0.01	S(x),tau=0.1	S(x),tau=1.0	S(x),tau=10.0	xi(x),tau=0.001	xi(x),tau=0.01	xi(x),tau=0.1	xi(x),tau=1.0	xi(x),tau=10.0	
0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
0.0050	0.9906	0.9902	0.9835	0.8805	0.7202	0.6892	0.0099	0.0178	0.2922	0.8754	0.9867	
0.0101	0.9802	0.9796	0.9657	0.7829	0.5638	0.5248	0.0205	0.0371	0.4025	0.9048	0.9900	
0.0151	0.9696	0.9688	0.9492	0.7491	0.5337	0.5025	0.0314	0.0544	0.4327	0.9107	0.9906	
0.0201	0.9595	0.9582	0.9348	0.7271	0.5241	0.4971	0.0420	0.0695	0.4529	0.9135	0.9908	
0.0251	0.9500	0.9483	0.9218	0.7099	0.5175	0.4934	0.0520	0.0831	0.4690	0.9157	0.9911	
0.0302	0.9409	0.9389	0.9098	0.6954	0.5120	0.4901	0.0614	0.0956	0.4827	0.9177	0.9913	
0.0352	0.9323	0.9299	0.8986	0.6828	0.5073	0.4870	0.0704	0.1073	0.4948	0.9194	0.9914	
0.0402	0.9240	0.9213	0.8880	0.6714	0.5031	0.4841	0.0791	0.1183	0.5059	0.9211	0.9916	
0.0452	0.9161	0.9131	0.8780	0.6609	0.4992	0.4814	0.0873	0.1288	0.5161	0.9226	0.9918	
0.0503	0.9085	0.9051	0.8684	0.6512	0.4956	0.4788	0.0953	0.1387	0.5257	0.9241	0.9919	
0.0553	0.9011	0.8974	0.8592	0.6421	0.4922	0.4762	0.1030	0.1483	0.5348	0.9255	0.9921	
0.0603	0.8940	0.8900	0.8504	0.6335	0.4889	0.4737	0.1105	0.1575	0.5434	0.9269	0.9922	
0.0653	0.8871	0.8828	0.8419	0.6253	0.4858	0.4714	0.1178	0.1664	0.5517	0.9282	0.9924	
0.0704	0.8804	0.8757	0.8336	0.6175	0.4828	0.4690	0.1248	0.1750	0.5597	0.9295	0.9925	
0.0754	0.8739	0.8689	0.8255	0.6100	0.4799	0.4668	0.1317	0.1835	0.5674	0.9308	0.9926	
0.0804	0.8676	0.8622	0.8176	0.6028	0.4771	0.4645	0.1384	0.1917	0.5749	0.9320	0.9928	
0.0854	0.8614	0.8557	0.8099	0.5959	0.4744	0.4624	0.1449	0.1998	0.5822	0.9332	0.9929	
0.0905	0.8553	0.8493	0.8024	0.5891	0.4718	0.4603	0.1514	0.2077	0.5893	0.9343	0.9930	
0.0955	0.8494	0.8430	0.7949	0.5825	0.4692	0.4582	0.1577	0.2156	0.5962	0.9355	0.9931	
0.1005	0.8436	0.8368	0.7876	0.5761	0.4667	0.4562	0.1639	0.2234	0.6030	0.9366	0.9933	
0.1055	0.8379	0.8308	0.7803	0.5699	0.4642	0.4542	0.1700	0.2311	0.6097	0.9377	0.9934	
0.1106	0.8323	0.8248	0.7731	0.5638	0.4618	0.4523	0.1760	0.2387	0.6163	0.9388	0.9935	
0.1156	0.8268	0.8189	0.7659	0.5578	0.4594	0.4504	0.1819	0.2464	0.6227	0.9398	0.9936	
0.1206	0.8214	0.8130	0.7587	0.5519	0.4571	0.4485	0.1878	0.2541	0.6291	0.9409	0.9937	
